form	lemma	POS	morph
ཅིང་	ཅིང་	PART
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྩོམ་རིག་	རྩོམ་རིག་	NOUN
གི་	གི་	PART
དྲང་དོན་	དྲང་དོན་	NOUN
བརྗོད་པ་	བརྗོད་པ་	VERB
།		PUNCT
བུ་	བུ་	NOUN
བཞི་	བཞི་	NUM
བསམ་པ་	བསམ་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
གྲུབཀྲིས་		NON_WORD
བརྩམས་	བརྩམས་	VERB
།		PUNCT
མཚོ་	མཚོ་	NOUN
སྔོནམིརིགསདཔོསྐྲུན་		NON_WORD
ཁང་	ཁང་	NOUN
།		PUNCT
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཆགལེའུ་		NON_WORD
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
རྩོམ་	རྩོམ་	VERB
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
དཔྱད་པ་	དཔྱད་པ་	VERB
། ་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྩོམ་	རྩོམ་	VERB
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
། ་་་་་་་་་་་་་་་་་་		PUNCT
		
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
སྙན་	སྙན་	NOUN
གཞུང་ལས་	གཞུང་ལས་	NO_POS
དགོངས་པ་	དགོངས་པ་	VERB
ཅན་	ཅན་	PART
བཤད་པ་	བཤད་པ་	VERB
། ་་་་་་		PUNCT
		
གསུམ་པ་	གསུམ་པ་	NUM
།		PUNCT
རྩོམ་རིག་	རྩོམ་རིག་	NOUN
གི་	གི་	PART
མི་རིགས་	མི་རིགས་	NOUN
ཁྱད་ཆོས་	ཁྱད་ཆོས་	NOUN
།་་་་་་་་་་་་་་་་་་		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
བརྩམས་	བརྩམས་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དཔྱད་པ་	དཔྱད་པ་	VERB
། ་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
ནག་མོ་	ནག་མོ་	ADJ
འི་	གི་	PART
ཁོལ་	ཁོལ་	OTHER
གྱི་	གི་	PART
བཙམས་	བཙམས་	NO_POS
ཆོ་	ཆོ་	NOUN
		
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རང་མོས་	རང་མོས་	NO_POS
སྙན་ངག་	སྙན་ངག་	NOUN
		
གསུམ་པ་	གསུམ་པ་	NUM
།		PUNCT
གནའ་རབས་	གནའ་རབས་	OTHER
ལྷུག་	ལྷུག་	NO_POS
རྩོམ་	རྩོམ་	VERB
གྱི་	གི་	PART
ཁྱད་ཆོས་	ཁྱད་ཆོས་	NOUN
།་་་་་་་་་་་་		PUNCT
		
ལེའུ་	ལེའུ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
།		PUNCT
དམངས་	དམངས་	NOUN
རྩོམ་	རྩོམ་	VERB
གྱི་	གི་	PART
དཔྱད་པ་	དཔྱད་པ་	VERB
།་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
སྒྲུང་གཏམ་	སྒྲུང་གཏམ་	OTHER
བྱུང་	བྱུང་	VERB
འཕེལ་	འཕེལ་	VERB
། ་་་་་་་་་་་་་་་		PUNCT
		
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
བདུད་འདུལ་	བདུད་འདུལ་	OTHER
དང་	དང་	NO_POS
རཱ་	རཱ་	NO_POS
མ་	མ་	PART
ཡ་	ཡ་	NOUN
ཎ་		NON_WORD
།་་་་་་་་་་་་་་་་་་		PUNCT
		
གསུམ་པ་	གསུམ་པ་	NUM
།		PUNCT
ལྷ་སྒྲུང་	ལྷ་སྒྲུང་	OTHER
དང་	དང་	NO_POS
གེ་སར་	གེ་སར་	PROPN
འཁྲུངས་རབས་	འཁྲུངས་རབས་	OTHER
།་་་་་་་་་་་་		PUNCT
		
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྩོམ་	རྩོམ་	VERB
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
། ་		PUNCT
གཅིག་	གཅིག་	NUM
བོད་	བོད་	PROPN
དུ་	ལ་	PART
རྩོམ་རིག་	རྩོམ་རིག་	NOUN
གཞུང་ལུགས་	གཞུང་ལུགས་	NOUN
དར་བ་	དར་བ་	VERB
འི་	གི་	PART
རིག་གནས་	རིག་གནས་	NOUN
ཟང་	ཟང་	NO_POS
གཞི་	གཞི་	NOUN
དང་	དང་	NO_POS
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
།		PUNCT
མི་རིགས་	མི་རིགས་	NOUN
ཤིག་	ཅིག་	PART
ལ་	ལ་	PART
རིག་གནས་	རིག་གནས་	NOUN
གས་	གསའ་	NO_POS
ར་བ་	ར་བ་	PART
ཞིག་	ཅིག་	PART
ད་	ད་	NOUN
དགོས་	དགོས་	VERB
ཚེ་	ཚེ་	NOUN
དེ་	སྟེ་	PART
ལ་	ལ་	PART
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
རྐྱེན་	རྐྱེན་	NOUN
ངེས་ཅན་	ངེས་ཅན་	NO_POS
ཞིག་	ཅིག་	PART
ཚང་	ཚང་	VERB
དགོས་	དགོས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
རིག་གནས་	རིག་གནས་	NOUN
དེ་	སྟེ་	PART
དང་ལེན་	དང་ལེན་	NO_POS
དང་	དང་	NO_POS
རྐང་ཚུགས་པ་	རྐང་ཚུགས་པ་	NO_POS
འི་	གི་	PART
སྤྱི་ཚོགས་	སྤྱི་ཚོགས་	OTHER
རྨང་གཞི་	རྨང་གཞི་	OTHER
།		PUNCT
རིག་གནས་	རིག་གནས་	NOUN
ཁོར་ཡུག་	ཁོར་ཡུག་	NOUN
ཤེས་རིག་	ཤེས་རིག་	NOUN
ཆུ་	ཆུ་	NOUN
ཚད་	ཚད་	NOUN
སོགས་	སོགས་	DET
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
ཚང་	ཚང་	VERB
དགོས་པ་	དགོས་པ་	VERB
འང་	ཀྱང་	PART
ཧ་ཅང་	ཧ་ཅང་	ADV
གལ་ཆེ་	གལ་ཆེ་	OTHER
བར་སྣང་	བར་སྣང་	NOUN
།		PUNCT
རང་	རང་	PRON
རེ་	རེ་	DET
འི་	གི་	PART
བོད་	བོད་	PROPN
ལ་	ལ་	PART
རྩོམ་རིག་	རྩོམ་རིག་	NOUN
གཞུང་ལུགས་	གཞུང་ལུགས་	NOUN
ད་	ད་	NOUN
མགོ་	མགོ་	NOUN
བརྩམས་པ་	བརྩམས་པ་	VERB
དེ་	སྟེ་	PART
སྤྱི་ལོ་	སྤྱི་ལོ་	NOUN
དུས་རབས་	དུས་རབས་	OTHER
བཅུ་གཅིག་པ་	བཅུ་གཅིག་པ་	NO_POS
འི་	གི་	PART
མཇུག་	མཇུག་	NOUN
ས་སྐྱ་	ས་སྐྱ་	PROPN
པཎ་ཆེན་	པཎ་ཆེན་	NOUN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
གྱིས་	གིས་	PART
རིག་གནས་	རིག་གནས་	NOUN
ཆེ་ཆུང་	ཆེ་ཆུང་	ADJ
བཅུ་ཆ་	བཅུ་ཆ་	OTHER
ཚང་	ཚང་	VERB
དུ་	ལ་	PART
བོད་	བོད་	PROPN
ལ་ད་	ལ་ད་	PROPN
ར་	ལ་	PART
བ་	བ་	NOUN
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ཡིན་མོད་	ཡིན་མོད་	NO_POS
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཡ་	ཡ་	OTHER
སྔོན་	སྔོན་	ADV
གྱི་	གི་	PART
ལོ་	གོ་	PART
ངོ་	གོ་	PART
སྟོང་ཕྲག་	སྟོང་ཕྲག་	OTHER
ལྷག་	ལྷག་	NOUN
རིང་	རིང་	NOUN
གི་	གི་	PART
རྩོམ་རིག་	རྩོམ་རིག་	NOUN
གས་	གསའ་	NO_POS
ར་	ལ་	PART
རྩོམ་	རྩོམ་	VERB
གྱི་	གི་	PART
